Order_ID,Transaction Date,Product  Name,Region ,Status,Unit_Price,QTY,Total_Revenue,Discount%,Customer Name,Notes
ORD2096,2023-08-17,ear phones,EU,,249.07,4.0,1284.15,15.5,,
ORD2171,2023-06-01,HEADPHONES,EUROPE,completed,266.99,2.0,533.98,19.8,JANE DOE,URGENT
ORD2068,2023-05-08,laptop,ASIA,completed,246.72,8.0,2227.27,28.0,Customer #6,
ORD2162,2023-09-03,TABLET,Asia,N/A,401.9,7.0,2813.3,UNKNOWN,UNKNOWN,URGENT
ORD2082,2023-06-25,TABLET,,N/A,352.09,7.0,2464.63,27.4,Customer #14,
ORD2045,2023-10-19,LapTop,north america,COMPLETED,100.59,8.0,804.72,29.1,Alice Brown,
ORD2142,2023-11-22,mobile phone,UNKNOWN,Cancelled,150.78,4.0,603.12,18.8,,
ORD2040,2023-03-11,Tablet,north america,,292.85,7.0,2049.95,,John Smith,
ORD2030,2023-02-10,Phone,--,Cancelled,450.76,4.0,1803.04,27.5,UNKNOWN,
ORD2007,2023-05-19,TABLET,N. America,,455.53,4.0,1826.82,22.8,,
ORD2091,2023-04-24,Earphones,North America,UNKNOWN,478.63,10.0,4786.3,24.6,--,
ORD2207,2023-05-23,HeadPhones,N. America,N/A,,5.0,N/A,14.2,John Smith,CHECK
ORD2231,2023-10-11,lap top,ERROR,completed,73.06,1.0,73.06,8.6,Alice Brown,
ORD2081,2023-06-03,mobile phone,north america,,468.0,1.0,468.0,3.7,John Smith,OK
ORD2118,2023-06-28,headphones,europe,,127.84,5.0,639.2,5.5,N/A,OK
ORD2175,2023-07-18,Tablet,Asia,N/A,129.11,6.0,774.66,0.6,--,
ORD2227,2023-02-07,PHONE,N/A,ERROR,445.97,3.0,1337.91,21.0,Customer #28,
ORD2188,2023-05-15,headphones,NA,Pending,185.44,8.0,1483.52,29.9,Alice Brown,
ORD2185,2023-12-09,Laptop,EUROPE,completed,479.92,9.0,4319.28,25.3,--,OK
ORD2097,2023-12-01,HeadPhones,,Completed,158.57,7.0,1109.99,6.6,,
ORD2026,2023-06-08,PHONE,--,COMPLETED,499.56,10.0,4995.6,14.5,N/A,
ORD2109,2023-10-12,TABLET,Europe,Cancelled,62.81,9.0,565.29,8.0,N/A,
